"filename", "language", "SCSS", "JavaScript", "HTML", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\huber\OneDrive\Pulpit\portfolio\.prettierrc", "JSON", 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\huber\OneDrive\Pulpit\portfolio\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\huber\OneDrive\Pulpit\portfolio\package-lock.json", "JSON", 0, 0, 0, 0, 39920, 0, 1, 39921
"c:\Users\huber\OneDrive\Pulpit\portfolio\package.json", "JSON", 0, 0, 0, 0, 39, 0, 1, 40
"c:\Users\huber\OneDrive\Pulpit\portfolio\public\index.html", "HTML", 0, 0, 18, 0, 0, 0, 1, 19
"c:\Users\huber\OneDrive\Pulpit\portfolio\src\_base.scss", "SCSS", 31, 0, 0, 0, 0, 2, 4, 37
"c:\Users\huber\OneDrive\Pulpit\portfolio\src\_components.scss", "SCSS", 105, 0, 0, 0, 0, 4, 23, 132
"c:\Users\huber\OneDrive\Pulpit\portfolio\src\_layout.scss", "SCSS", 46, 0, 0, 0, 0, 0, 7, 53
"c:\Users\huber\OneDrive\Pulpit\portfolio\src\_main.scss", "SCSS", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\huber\OneDrive\Pulpit\portfolio\src\components\Desc.js", "JavaScript", 0, 18, 0, 0, 0, 0, 2, 20
"c:\Users\huber\OneDrive\Pulpit\portfolio\src\components\Icons.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\huber\OneDrive\Pulpit\portfolio\src\components\SkillCard.js", "JavaScript", 0, 28, 0, 0, 0, 0, 3, 31
"c:\Users\huber\OneDrive\Pulpit\portfolio\src\components\Username.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\huber\OneDrive\Pulpit\portfolio\src\components\nav.js", "JavaScript", 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\huber\OneDrive\Pulpit\portfolio\src\index.js", "JavaScript", 0, 16, 0, 0, 0, 2, 4, 22
"c:\Users\huber\OneDrive\Pulpit\portfolio\src\sections\Landing.js", "JavaScript", 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\huber\OneDrive\Pulpit\portfolio\src\sections\Skills.js", "JavaScript", 0, 109, 0, 0, 0, 1, 8, 118
"Total", "-", 183, 217, 18, 1, 39965, 9, 65, 40458